bioguide_id,full_name,party,state,chamber,aipac_2024,aipac_featured,aipac_2022,aipac_2025,aipac_total_all_years
E000301,"Elfreth, Sarah",Democratic,Maryland,HOUSE,4224711.0,0,0.0,0.0,4224711.0
F000477,"Foushee, Valerie P.",Democratic,North Carolina,HOUSE,-12300.0,0,2547651.18,0.0,2535351.18
C001063,"Cuellar, Henry",Democratic,Texas,HOUSE,33231.0,0,1858900.26,0.0,1892131.26
M001233,"Messmer, Mark B.",Republican,Indiana,HOUSE,1786810.0,0,0.0,0.0,1786810.0
R000608,"Rosen, Jacky",Democratic,Nevada,SENATE,1269951.0,0,0.0,0.0,1269951.0
W000797,"Wasserman Schultz, Debbie",Democratic,Florida,HOUSE,519842.0,0,99610.0,165574.41999999998,785026.4199999999
D000600,"Diaz-Balart, Mario",Republican,Florida,HOUSE,480227.0,0,23800.0,154471.44,658498.44
M001225,"Mullin, Kevin",Democratic,California,HOUSE,4914.0,0,596668.26,0.0,601582.26
G000598,"Garcia, Robert",Democratic,California,HOUSE,10700.0,0,581788.4299999999,0.0,592488.4299999999
C001098,"Cruz, Ted",Republican,Texas,SENATE,562593.0,0,0.0,0.0,562593.0
D000096,"Davis, Danny K.",Democratic,Illinois,HOUSE,487329.0,0,0.0,0.0,487329.0
G000555,"Gillibrand, Kirsten E.",Democratic,New York,SENATE,480614.0,0,0.0,0.0,480614.0
F000463,"Fischer, Deb",Republican,Nebraska,SENATE,430658.0,0,0.0,0.0,430658.0
W000437,"Wicker, Roger F.",Republican,Mississippi,SENATE,339103.0,0,0.0,0.0,339103.0
S001150,"Schiff, Adam B.",Democratic,California,SENATE,311663.0,0,7900.0,0.0,319563.0
F000484,"Fine, Randy",Republican,Florida,HOUSE,0.0,0,0.0,311793.0,311793.0
B001243,"Blackburn, Marsha",Republican,Tennessee,SENATE,303547.0,0,0.0,0.0,303547.0
S001217,"Scott, Rick",Republican,Florida,SENATE,269235.0,0,0.0,0.0,269235.0
C001096,"Cramer, Kevin",Republican,North Dakota,SENATE,251927.0,0,0.0,0.0,251927.0
B001299,"Banks, Jim",Republican,Indiana,SENATE,205242.0,0,19800.0,0.0,225042.0
C000127,"Cantwell, Maria",Democratic,Washington,SENATE,219250.0,0,0.0,0.0,219250.0
C001127,"Cherfilus-McCormick, Sheila",Democratic,Florida,HOUSE,123388.0,0,38100.0,54281.43,215769.43
G000600,"Perez, Marie Gluesenkamp",Democratic,Washington,HOUSE,190401.0,0,0.0,2010.0,192411.0
B001277,"Blumenthal, Richard",Democratic,Connecticut,SENATE,0.0,0,148013.0,0.0,148013.0
W000802,"Whitehouse, Sheldon",Democratic,Rhode Island,SENATE,147208.0,0,0.0,0.0,147208.0
H001061,"Hoeven, John",Republican,North Dakota,SENATE,0.0,0,131900.0,0.0,131900.0
K000367,"Klobuchar, Amy",Democratic,Minnesota,SENATE,127150.0,0,0.0,0.0,127150.0
M001111,"Murray, Patty",Democratic,Washington,SENATE,0.0,0,123650.0,0.0,123650.0
T000250,"Thune, John",Republican,South Dakota,SENATE,0.0,0,122100.0,0.0,122100.0
H001089,"Hawley, Josh",Republican,Missouri,SENATE,119205.0,0,0.0,0.0,119205.0
C001114,"Curtis, John R.",Republican,Utah,SENATE,88400.0,0,29150.0,0.0,117550.0
B001267,"Bennet, Michael F.",Democratic,Colorado,SENATE,0.0,0,116850.0,0.0,116850.0
D000622,"Duckworth, Tammy",Democratic,Illinois,SENATE,0.0,0,105500.0,0.0,105500.0
C000537,"Clyburn, James E.",Democratic,South Carolina,HOUSE,14350.0,0,91000.0,0.0,105350.0
W000788,"Williams, Nikema",Democratic,Georgia,HOUSE,91140.0,0,7900.0,0.0,99040.0
S000148,"Schumer, Charles E.",Democratic,New York,SENATE,2650.0,0,94550.0,0.0,97200.0
M000934,"Moran, Jerry",Republican,Kansas,SENATE,0.0,0,96300.0,0.0,96300.0
B001319,"Britt, Katie Boyd",Republican,Alabama,SENATE,0.0,0,95050.0,0.0,95050.0
Y000064,"Young, Todd",Republican,Indiana,SENATE,0.0,0,93650.0,0.0,93650.0
S001225,"Sorensen, Eric",Democratic,Illinois,HOUSE,87014.0,0,250.0,3300.0,90564.0
S001226,"Salinas, Andrea",Democratic,Oregon,HOUSE,82450.0,0,0.0,0.0,82450.0
R000305,"Ross, Deborah K.",Democratic,North Carolina,HOUSE,55438.0,0,24900.0,0.0,80338.0
V000133,"Van Drew, Jefferson",Republican,New Jersey,HOUSE,35300.0,0,13700.0,29415.42,78415.42
H001079,"Hyde-Smith, Cindy",Republican,Mississippi,SENATE,0.0,0,0.0,73267.78,73267.78
D000629,"Davids, Sharice",Democratic,Kansas,HOUSE,36504.0,0,35560.0,0.0,72064.0
B001287,"Bera, Ami",Democratic,California,HOUSE,34069.0,0,33350.0,0.0,67419.0
M001220,"McGarvey, Morgan",Democratic,Kentucky,HOUSE,49003.0,0,17700.0,0.0,66703.0
G000604,"Goodlander, Maggie",Democratic,New Hampshire,HOUSE,63850.0,0,0.0,0.0,63850.0
S001207,"Sherrill, Mikie",Democratic,New Jersey,HOUSE,9350.0,0,54400.0,0.0,63750.0
V000134,"Van Duyne, Beth",Republican,Texas,HOUSE,44750.0,0,5000.0,13030.42,62780.42
S001185,"Sewell, Terri A.",Democratic,Alabama,HOUSE,48050.0,0,12750.0,0.0,60800.0
M001153,"Murkowski, Lisa",Republican,Alaska,SENATE,0.0,0,59500.0,0.0,59500.0
D000594,"De La Cruz, Monica",Republican,Texas,HOUSE,57406.0,0,0.0,48.42,57454.42
S000929,"Spartz, Victoria",Republican,Indiana,HOUSE,33700.0,0,23400.0,0.0,57100.0
P000605,"Perry, Scott",Republican,Pennsylvania,HOUSE,21250.0,0,35850.0,0.0,57100.0
L000560,"Larsen, Rick",Democratic,Washington,HOUSE,27800.0,0,26300.0,0.0,54100.0
H001047,"Himes, James A.",Democratic,Connecticut,HOUSE,14400.0,0,39300.0,0.0,53700.0
C001125,"Carter, Troy A.",Democratic,Louisiana,HOUSE,41350.0,0,10000.0,0.0,51350.0
H001085,"Houlahan, Chrissy",Democratic,Pennsylvania,HOUSE,35710.0,0,14800.0,0.0,50510.0
C001113,"Cortez Masto, Catherine",Democratic,Nevada,SENATE,0.0,0,46050.0,0.0,46050.0
C000880,"Crapo, Mike",Republican,Idaho,SENATE,0.0,0,45550.0,0.0,45550.0
G000587,"Garcia, Sylvia R.",Democratic,Texas,HOUSE,22333.0,0,22160.0,0.0,44493.0
H001052,"Harris, Andy",Republican,Maryland,HOUSE,20588.0,0,23150.0,0.0,43738.0
T000165,"Tiffany, Thomas P.",Republican,Wisconsin,HOUSE,9612.0,0,33950.0,0.0,43562.0
W000779,"Wyden, Ron",Democratic,Oregon,SENATE,0.0,0,43250.0,0.0,43250.0
V000135,"Van Orden, Derrick",Republican,Wisconsin,HOUSE,40400.0,0,0.0,15.42,40415.42
G000574,"Gallego, Ruben",Democratic,Arizona,SENATE,13630.0,0,26700.0,0.0,40330.0
K000402,"Kennedy, Timothy M.",Democratic,New York,HOUSE,39750.0,0,0.0,0.0,39750.0
G000593,"Gimenez, Carlos A.",Republican,Florida,HOUSE,24850.0,0,13850.0,613.4300000000001,39313.43
D000530,"Deluzio, Christopher R.",Democratic,Pennsylvania,HOUSE,37900.0,0,0.0,0.0,37900.0
S001230,"Subramanyam, Suhas",Democratic,Virginia,HOUSE,37250.0,0,0.0,0.0,37250.0
F000481,"Figures, Shomari",Democratic,Alabama,HOUSE,36300.0,0,0.0,500.0,36800.0
J000310,"Johnson, Julie",Democratic,Texas,HOUSE,36510.0,0,0.0,0.0,36510.0
K000383,"King, Angus S., Jr.",Independent,Maine,SENATE,35950.0,0,0.0,0.0,35950.0
B000490,"Bishop, Sanford D.",Democratic,Georgia,HOUSE,14250.0,0,21200.0,0.0,35450.0
M001238,"McBride, Sarah",Democratic,Delaware,HOUSE,32260.0,0,0.0,0.0,32260.0
C001115,"Cloud, Michael",Republican,Texas,HOUSE,23001.0,0,7000.0,0.0,30001.0
C001069,"Courtney, Joe",Democratic,Connecticut,HOUSE,11925.0,0,16900.0,0.0,28825.0
M001227,"McClellan, Jennifer L.",Democratic,Virginia,HOUSE,23550.0,0,5000.0,0.0,28550.0
M001216,"Mills, Cory",Republican,Florida,HOUSE,23350.0,0,5000.0,0.0,28350.0
S001184,"Scott, Tim",Republican,South Carolina,SENATE,0.0,0,27300.0,0.0,27300.0
M001235,"Moore, Riley M.",Republican,West Virginia,HOUSE,27250.0,0,0.0,0.0,27250.0
B001302,"Biggs, Andy",Republican,Arizona,HOUSE,800.0,0,24250.0,0.0,25050.0
C001121,"Crow, Jason",Democratic,Colorado,HOUSE,2350.0,0,22300.0,0.0,24650.0
R000620,"Rivas, Luz M.",Democratic,California,HOUSE,13900.0,0,0.0,10000.0,23900.0
P000622,"Patronis, Jimmy",Republican,Florida,HOUSE,0.0,0,0.0,23500.0,23500.0
D000616,"DesJarlais, Scott",Republican,Tennessee,HOUSE,0.0,0,22900.0,0.0,22900.0
Z000018,"Zinke, Ryan K.",Republican,Montana,HOUSE,16650.0,0,5000.0,0.0,21650.0
M000687,"Mfume, Kweisi",Democratic,Maryland,HOUSE,11000.0,0,10000.0,0.0,21000.0
B001309,"Burchett, Tim",Republican,Tennessee,HOUSE,10834.0,0,10000.0,0.0,20834.0
C001061,"Cleaver, Emanuel",Democratic,Missouri,HOUSE,10000.0,0,10000.0,0.0,20000.0
K000393,"Kennedy, John",Republican,Louisiana,SENATE,0.0,0,19800.0,0.0,19800.0
M001163,"Matsui, Doris O.",Democratic,California,HOUSE,11322.0,0,7900.0,0.0,19222.0
R000395,"Rogers, Harold",Republican,Kentucky,HOUSE,10500.0,0,7900.0,0.0,18400.0
S001188,"Stutzman, Marlin A.",Republican,Indiana,HOUSE,18300.0,0,0.0,0.0,18300.0
H001102,"Harris, Mark",Republican,North Carolina,HOUSE,18250.0,0,0.0,0.0,18250.0
C001136,"Conaway, Herbert C.",Democratic,New Jersey,HOUSE,18001.0,0,0.0,0.0,18001.0
M001215,"Miller-Meeks, Mariannette",Republican,Iowa,HOUSE,10000.0,0,7900.0,33.43,17933.43
J000295,"Joyce, David P.",Republican,Ohio,HOUSE,10000.0,0,7900.0,0.0,17900.0
H001081,"Hayes, Jahana",Democratic,Connecticut,HOUSE,600.0,0,14900.0,0.0,15500.0
S001208,"Slotkin, Elissa",Democratic,Michigan,SENATE,1025.0,0,14300.0,0.0,15325.0
H001077,"Higgins, Clay",Republican,Louisiana,HOUSE,5000.0,0,10000.0,0.0,15000.0
J000312,"Justice, James C.",Republican,West Virginia,SENATE,14500.0,0,0.0,0.0,14500.0
H001094,"Hoyle, Val T.",Democratic,Oregon,HOUSE,0.0,0,12990.0,0.0,12990.0
J000309,"Jackson, Jonathan L.",Democratic,Illinois,HOUSE,2900.0,0,10000.0,0.0,12900.0
R000621,"Randall, Emily",Democratic,Washington,HOUSE,12800.0,0,0.0,0.0,12800.0
A000381,"Ansari, Yassamin",Democratic,Arizona,HOUSE,11450.0,0,0.0,0.0,11450.0
K000405,"Knott, Brad",Republican,North Carolina,HOUSE,10000.0,0,0.0,1000.0,11000.0
O000176,"Olszewski, Johnny",Democratic,Maryland,HOUSE,10500.0,0,0.0,0.0,10500.0
K000403,"Kennedy, Mike",Republican,Utah,HOUSE,10000.0,0,0.0,250.0,10250.0
L000577,"Lee, Mike",Republican,Utah,SENATE,0.0,0,10000.0,0.0,10000.0
D000634,"Downing, Troy",Republican,Montana,HOUSE,10000.0,0,0.0,0.0,10000.0
T000490,"Taylor, David J.",Republican,Ohio,HOUSE,10000.0,0,0.0,0.0,10000.0
B001325,"Biggs, Sheri",Republican,South Carolina,HOUSE,10000.0,0,0.0,0.0,10000.0
L000491,"Lucas, Frank D.",Republican,Oklahoma,HOUSE,10000.0,0,0.0,0.0,10000.0
R000619,"Rulli, Michael A.",Republican,Ohio,HOUSE,10000.0,0,0.0,0.0,10000.0
F000480,"Fong, Vince",Republican,California,HOUSE,10000.0,0,0.0,0.0,10000.0
T000482,"Trahan, Lori",Democratic,Massachusetts,HOUSE,0.0,0,10000.0,0.0,10000.0
N000002,"Nadler, Jerrold",Democratic,New York,HOUSE,1800.0,0,7900.0,0.0,9700.0
E000299,"Escobar, Veronica",Democratic,Texas,HOUSE,0.0,0,8700.0,0.0,8700.0
J000293,"Johnson, Ron",Republican,Wisconsin,SENATE,0.0,0,8450.0,0.0,8450.0
N000190,"Norman, Ralph",Republican,South Carolina,HOUSE,250.0,0,7900.0,0.0,8150.0
A000370,"Adams, Alma S.",Democratic,North Carolina,HOUSE,0.0,0,7900.0,0.0,7900.0
G000386,"Grassley, Chuck",Republican,Iowa,SENATE,0.0,0,7900.0,0.0,7900.0
B001236,"Boozman, John",Republican,Arkansas,SENATE,0.0,0,7900.0,0.0,7900.0
P000608,"Peters, Scott H.",Democratic,California,HOUSE,0.0,0,7900.0,0.0,7900.0
L000273,"Leger Fernandez, Teresa",Democratic,New Mexico,HOUSE,0.0,0,7900.0,0.0,7900.0
F000483,"Friedman, Laura",Democratic,California,HOUSE,7750.0,0,0.0,0.0,7750.0
N000026,"Nehls, Troy E.",Republican,Texas,HOUSE,5000.0,0,2100.0,0.0,7100.0
F000482,"Fedorchak, Julie",Republican,North Dakota,HOUSE,7000.0,0,0.0,0.0,7000.0
B001278,"Bonamici, Suzanne",Democratic,Oregon,HOUSE,2000.0,0,5000.0,0.0,7000.0
B001261,"Barrasso, John",Republican,Wyoming,SENATE,6000.0,0,0.0,0.0,6000.0
B000668,"Bentz, Cliff",Republican,Oregon,HOUSE,5750.0,0,0.0,0.0,5750.0
K000377,"Kelly, Mark",Democratic,Arizona,SENATE,500.0,0,5000.0,0.0,5500.0
S001229,"Shreve, Jefferson",Republican,Indiana,HOUSE,5000.0,0,0.0,0.0,5000.0
O000177,"Onder, Robert F.",Republican,Missouri,HOUSE,5000.0,0,0.0,0.0,5000.0
W000829,"Wied, Tony",Republican,Wisconsin,HOUSE,5000.0,0,0.0,0.0,5000.0
P000145,"Padilla, Alex",Democratic,California,SENATE,0.0,0,5000.0,0.0,5000.0
T000487,"Tokuda, Jill N.",Democratic,Hawaii,HOUSE,0.0,0,5000.0,0.0,5000.0
L000575,"Lankford, James",Republican,Oklahoma,SENATE,500.0,0,4200.0,0.0,4700.0
C001112,"Carbajal, Salud O.",Democratic,California,HOUSE,0.0,0,3900.0,0.0,3900.0
H001098,"Hamadeh, Abraham J.",Republican,Arizona,HOUSE,3505.0,0,0.0,0.0,3505.0
A000382,"Alsobrooks, Angela D.",Democratic,Maryland,SENATE,3225.0,0,0.0,0.0,3225.0
D000197,"DeGette, Diana",Democratic,Colorado,HOUSE,0.0,0,2900.0,0.0,2900.0
O000174,"Ossoff, Jon",Democratic,Georgia,SENATE,2450.0,0,0.0,0.0,2450.0
M001169,"Murphy, Christopher",Democratic,Connecticut,SENATE,1250.0,0,0.0,0.0,1250.0
B001230,"Baldwin, Tammy",Democratic,Wisconsin,SENATE,1175.0,0,0.0,0.0,1175.0
F000479,"Fetterman, John",Democratic,Pennsylvania,SENATE,1093.0,0,0.0,0.0,1093.0
B001303,"Blunt Rochester, Lisa",Democratic,Delaware,SENATE,1000.0,0,0.0,0.0,1000.0
D000635,"Dexter, Maxine",Democratic,Oregon,HOUSE,750.0,0,0.0,0.0,750.0
L000607,"Liccardo, Sam T.",Democratic,California,HOUSE,500.0,0,0.0,0.0,500.0
U000040,"Underwood, Lauren",Democratic,Illinois,HOUSE,500.0,0,0.0,0.0,500.0
D000631,"Dean, Madeleine",Democratic,Pennsylvania,HOUSE,0.0,0,500.0,0.0,500.0
W000830,"Whitesides, George",Democratic,California,HOUSE,383.0,0,0.0,0.0,383.0
W000790,"Warnock, Raphael G.",Democratic,Georgia,SENATE,0.0,0,246.0,0.0,246.0
K000384,"Kaine, Tim",Democratic,Virginia,SENATE,150.0,0,0.0,0.0,150.0
B001326,"Bynum, Janelle S.",Democratic,Oregon,HOUSE,100.0,0,0.0,0.0,100.0
G000605,"Gray, Adam",Democratic,California,HOUSE,50.0,0,0.0,0.0,50.0
M001241,"Min, Dave",Democratic,California,HOUSE,50.0,0,0.0,0.0,50.0
M001232,"McClain Delaney, April",Democratic,Maryland,HOUSE,0.0,0,0.0,10.0,10.0
