Logic,,Bill/Action,Good language,Good language alt,Bad language,Bad language alt,
,House,,,,,,
Did they cosponsor either war powers resolution,House,"H.Con.Res.38, H.Con.Res.40",Supports,,Has not sponsored,,war power resolution AGAINST war with Iran
Did they cosponsor Enhanced Iran Sanctions Act,House,H.R.1422,,,Supports,,AIPAC's bill to impose more broad sanctions on Iranians
Did they cosponsor the MEK bill,House,H.Res.166,,,Sponsored,, the MEK bill
"Did they vote on the Travel to Iran Amendment, yes - how did they vote, no - did they cosponsor HR2619",House,"H.R.2619, Travel to Iran Amendment",Voted to prevent a ban on (supported Travel to Iran Amendment),,Sponsored legislation to ban,Voted in committee to ban (voted against Travel to Iran Amendment),U.S. travel to Iran.
How did they vote on ICC sanctions,House,H.R.23,Voted against,,Voted for,,sanctions on the International Criminal Court over its prosecution of Netanyahu
Have they cosponsored block the bombs act,House,H.R.3565,Sponsored,,Has not sponsored,,the Block the Bombs Act to prevent US weapons going to Israel to commit human right violations
"did they receive money from AIPAC/DMFI in 2024, no - do they have reject aipac?",House,,,Publicly rejects support from AIPAC and DMFI,Received $[amount] in support from the Israel Lobby last election,,
,,,,,,,
,,,,,,,
How did they vote,Senate,S.J.Res.59,Voted in favor of,,Voted against,, Iran war powers resolution to make clear there is no authorization for U.S. war on Iran.
Did they cosponsor,Senate,S.556,,,Supports,,AIPAC's bill to impose more broad sanctions on Iranians
How did they vote,Senate,H.R.23,Voted against,,Voted for,,sanctions on the International Criminal Court over its prosecution of Netanyahu
How did they vote,Senate,S.J.Res.41,Supports,,Opposes,,restricting US weapons transfers to Israel
Did they receive money from AIPAC/DMFI in 2024; if 0 - did they receive money in 2022,Senate,,Does not take money from,Publicly rejects AIPAC and DMFI,received $[amount] in support from the Israel Lobby last election,,
HAve they received money from AIPAC/DMFI in 2026,Senate,,Does not take money from,Publicly rejects AIPAC and DMFI,has already accepted $[amount] in support from the Israel Lobby for their next election,,